"judul_webtoon","sinopsis_webtoon"
"Unchi","Gagal dalam karir dan percintaan, Key--si aktor tidak terkenal--tidak sengaja membuat permohonan untuk jadi seekor anjing. Ketika permohonan itu jadi kenyataan, Key yang kini jadi anjing dipelihara oleh Nine, adik dari cowok yang merebut pacarnya! Gimana kelanjutan kisah mereka?"
"Another Typical Romance Fantasy","Littera, hidup kembali di kehidupan ke-3 dalam novel yang ia baca.
Tidak ingin mengulangi kesalahannya yang dulu sampai membuat dia dibunuh oleh karakter utama pria, Littera sekarang memutuskan untuk menikah Duke dari utara yang hubungannya tidak terlalu erat dengan kerajaan sebagai cara untuk kabur!
Tapi.... ternyata Duke dari utara memiliki tubuh besar, janggut, dan penuh luka! Apakah ini novel romantis-fantasi atau aksi?!"
"Libur Telah Tiba","Kemas bukumu dan bersiap-siap untuk liburan! WEBTOON kembali lagi dengan kompilasi singkat dari para author kesayangan! Liburan di pantai? atau di rumah saja? Kita siap menemani liburanmu!"
"No Marriage is Perfect","Suamiku tiba-tiba meminta untuk bercerai. Walaupun memang pernikahan ini dimulai bukan karena cinta, tapi aku sebenarnya mencintainya dan masih ingin bersamanya. Akupun terpaksa melakukan sandiwara ini!"
"66,666 Years: Advent of the Dark Mage","Diablo Volpir, seorang penyihir yang menggunakan sihir hitam disegel oleh 12 dewa!
66.666 tahun berlalu, dia terlahir kembali menjadi Jamie Welton! Putra tertua dari keluarga Welton yang penuh kasih sayang. Akankah Jamie dapat menggunakan sihirnya kembali dan membalas 12 dewa yang menyegelnya?!
"
"Like Family","Han Nana adalah seorang artis yang memiliki reputasi buruk. Antagonis dan dicap sebagai wanita yang jahat. Apa yang terjadi di saat kala ia menabrak seorang anak SMA dan kompensasi yang diingkan adalah... menginap di rumah Nana?!"
"Shape of the Nightmare","Sembilan tahun setelah kisah ""Strangers of Hell"" & ""The End of Relationship""
Jongwoo & Daeun masih menjalani kehidupan bagai neraka yang mengerikan.
Namun nasib memaksa mereka untuk kembali menghadapi masa lalu yang mengerikan itu.
Perlahan-lahan, mimpi buruk mulai mendekatimu..."
"Bima, Temanku yang Imut","Semua orang takut sama Bima yang mukanya serem banget kayak preman! Tetapi, nggak banyak yang tahu kalau Bima sebenarnya uwu. Awalnya Bintang juga takut, tapi semakin kenal Bima, Bintang semakin bertekad membuat orang-orang tahu Bima itu nggak seram, tapi imut!"
"How to Tame a Dangerous Husband","Lee Hyeri menawarkan diri untuk menggantikan kakaknya menikahi Kang Hyunwoo, direktur yang dikenal psikopat dan bolak-balik keluar penjara. 
Menikahi orang yang seperti itu jauh lebih baik untuk Lee Hyeri dibandingkan terus hidup dengan keluarganya yang sekarang.
Tidak apa-apa meski calon suaminya dikenal sebagai orang yang 'berbahaya'!
"
"Ultra-Alternate Character","Lee Oreum adalah seorang healer babu di game VR MMORPG yang terkenal. Selalu ditindas, dan terpuruk, Lee Oreum ternyata memiliki karakter alternate yang sangat kuat dan tidak terkalahkan. Apa yang terjadi saat ia bangun dari tidurnya dan ternyata ia sudah menjadi karakter alternatenya?"
"The Duke's Teddy Bear","Marshall yang pernah jatuh saat kecil, memiliki kemampuan di mana jiwanya bisa berkeliling saat dia tidur. Dia juga bisa merasuki manusia dan hewan. Tapi suatu hari, dia tiba-tiba terjebak dalam boneka teddy bear, dan pemiliknya adalah Duke yang sedingin es?!"
"The RUNWAY","Setelah dikhianati tunangannya, Yoo Ji-An pergi ke Prancis dengan impulsif. Di sana, dia bertemu dengan seorang pria dan menghabiskan satu malam dengannya dan berpikir bahwa dia tidak akan bertemu lagi dengannya.
Siapa sangka setelah 3 bulan berlalu, kantor Yoo Ji-An yang bergerak dalam bidang majalah fashion kedatangan kepala redaktur baru dari Prancis… dan ternyata itu adalah pria yang Yoo Ji-An temui di Prancis!
"
"Anak Bapak","Ujang adalah Anaknya Asep dan Asep adalah Bapaknya Ujang. Mereka adalah sepasang anak dan bapak yang sangat akrab, bahkan saking akrabnya mereka jadi bisa melalui banyak hal bersama! Mulai dari yang suka hingga duka atau bahkan dari yang aneh hingga nyeleneh!"
"Trash Belongs in the Trash Can!","Hidup dengan menggunakan uang dari pacar, itulah yang dilakukan Woobin, manusia seperti sampah. 
Namun di hari saat ia memutuskan pacar lamanya, dia justru bertemu wanita cantik yang justru sangat jauh berbeda darinya?"
"Regina Rena: To the Unforgiven","“Aku akan memberimu kesempatan untuk aku maafkan.”
Rena Rubel digunakan sebagai ‘persembahan’ oleh ayahnya.
Tapi enam tahun kemudian, ketika semua orang mengira Rena sudah mati,
Rena Rubel kembali menjadi kesatria!
"
"An Alternate Life","Selama 20 tahun hidupnya, Jiwon selalu menderita karena penampilannya yang tidak seperti orang pada umumnya. Namun hidupnya berubah karena profile media sosial yang baru dia buat 'Sihoo Kim' berhasil viral dalam waktu singkat!

Mampukah Jiwon menjalankan kedua kehidupannya? Sebagai Jiwon Lim sekaligus dengan 'Sihoo Kim' buatannya?!"
"Living with My Ex-husband","Setelah ketahuan selingkuh, pasangan suami istri ini memutuskan untuk bercerai. Namun, mereka berjanji untuk tinggal bersama, setidaknya sampai anak mereka menjadi dewasa. Apakah kehidupan mereka akan berjalan dengan damai?"
"Attention Seeker","Eunsang Lee adalah seorang pelajar yang selalu ditindas dan dipukuli oleh murid-murid di sekolahnya. Dengan berbekal keberanian dan tekad, dia mengikuti acara televisi 'Coming Fist' dan menjadi murid atlet UFC terbaik Korea, Beomchan Choi. Setelah selesai mengikuti acara tersebut, Eunsang Lee kembali ke sekolah dan siap membalas murid-murid yang menindasnya, satu per satu!"
"Secret Outing","Kisah anak yang dibuang di pinggir jalan, tumbuh besar dan bertemu dengan seorang pria misterius.
Siapakah pria misterius ini, dan apa yang akan terjadi di hubungan mereka?"
"The Guy with Pretty Lips","Ciuman pertama yang kulakukan pada 10 tahun yang lalu bersama dengan teman adikku, muncul kembali sebagai pria dewasa yang sempurna.
Dengan bibir yang cantik, Roha memilih kata-kata yang indah dan mulai merayu Hanbi seolah bertekad untuk kembali ke masa itu"
"Two Faced Princess","Putri Apollonia yang cantik terlihat lemah dan tak berdaya di bawah kekuasaan ayah serta bibinya yang kejam. Diam-diam di balik semua itu, sang putri tengah berusaha merebut kembali tahta dari ayahnya yang membunuh kakeknya kemudian mengangkat diri sebagai kaisar. Dibantu pengawal setia dan seorang pembunuh tampan, Apollonia bertekad menyingkirkan semua yang menghalangi takdirnya."
"Godly Idol","Woosa adalah dewa hujan yang terancam menghilang karena tak ada lagi umat manusia yang memujanya. Demi mempertahankan eksistensi, Woosa turun ke bumi dan menjadi idol bernama Woojin supaya kembali dipuja manusia. Dengan cara itu, Woosa takkan menghilang. Tetapi, perjalanannya di dunia idol tak mudah. Apalagi dia bergabung dengan agensi bobrok yang hampir bangkrut...."
"+99 Reinforced Wooden Stick","'Aku' selalu ditolak masuk ke dalam party dalam game 'Chrono Life' karena senjataku yang payah dan memiliki level rendah. Tapi kemudian, aku berhasil memperkuat senjata dasar 'Wood Stick' sampai level 99 hingga tidak sengaja menghancurkan dunia saat coba mengayunkannya! Saatnya balas dendam menggunakan tongkat kayu ini kepada orang-orang yang meremehkanku!
"
"A Chance at Last","Lee Jueun dan kakaknya, Lee Hyejin, harus hidup menderita karena kemiskinan. Saat ibu mereka meninggal, tiba-tiba ayah mereka mau bertemu kembali, tapi hanya 1 dari mereka yang akan diangkat menjadi anak. Sang Kakak pun pergi, namun beberapa waktu kemudian kakaknya Jueun meninggal. Dia yang kehilangan kakak tercintanya, berharap kesempatan kedua muncul dan ia bisa menyelamatkan kakaknya. "
"Annarasumanara","Mimpinya untuk menjadi seorang pesulap, kandas karena ia hanyalah seorang gadis SMA yang miskin, membeli kaus kaki baru pun tidak bisa.
Setelah bertemu dengan seorang pesulap misterius, ia pun memutuskan untuk mengejar mimpinya. "
"Duty after School","Apa yang akan kau lakukan apabila kegiatan ekstrakurikuler wajib dari sekolahmu adalah latihan seperti tentara? Ini adalah kisah sekumpulan murid yang dipaksa menjadi batalyon cadangan untuk melawan mahluk yang mengerikan."
"Why Ophelia Can’t Leave the Duchy","Ibunya Ophelia yang baru menikah lagi dengan Duke, meninggal saat sedang berangkat bulan madu dengan ayah tirinya. 
Ia yang tinggal sendirian, hendak pergi meninggalkan rumah itu. Tapi laki-laki yang mengaku sebagai adik tirinya itu, justru tak ingin kakaknya pergi. "
"NGARTOON","Tempat ngumpulnya para pemburu hadiah! Langsung tambahkan NGARTOON ke Favorit biar kamu enggak ketinggalan info soal event-event seru dari LINE WEBTOON!"
"A Wish on July 7th","Yui Ichinoi, sulit berteman karena masa lalunya yang pernah ditindas. Karena itulah dia memutuskan untuk sekolah di SMA yang cukup jauh dari rumahnya. Di sana dia bertemu dengan Haruma Sakura, lelaki populer yang memiliki banyak teman. Berharap ingin berubah menjadi seperti Sakura di Hari Tanabata... Siapa sangka keinginan Ichinoi benar-benar terkabul?!"
"Becoming Bad","Aku yang selalu berusaha jadi anak baik...
Pada akhirnya dibuang dan dipaksa menikah dengan pria yang tak kusuka...
Bila begini caranya, aku sudah muak! Aku akan melawan!"
"Death When Separated","Kehidupan seorang influencer yang sempurna. Kencan dengan gadis yang kusuka. Hal terakhir yang perlu kulakukan adalah jadian dengannya, tapi aku terjebak didalam sebuah insiden yang mematikan?!

""Ini bukan sebuah obsesi, beneran! Tapi, kalo kita berpisah, kita akan mati!!"""
"Crazy for You","Sehee, seorang anak konglomerat yang menyembunyikan identitasnya sebagai karyawan magang yang sedang dalam masa penilaian, tidak sengaja memasuki unit kamar VIP untuk mencari kucing jalanan yang masuk ke dalam sana. Tanpa Sehee ketahui, unit kamar VIP itu sedang dihuni oleh direktur eksekutif Lee Jaehyeon. Dianggap telah merugikan waktunya, Sehee diminta ganti rugi 1,1 miliar jika tidak menuruti kemauannya!"
"Sacrificed","Rudith, seorang putri kerajaan adalah anak yang lahir di luar nikah. Setelah dipaksa untuk menghadapi kematian dengan menjadi tumbal, Ia membangkitkan dewa yang dapat menyelamatkan kerajaan.

Dengan dewa disampingnya, Rudith bersumpah, Ia akan hidup dengan bebas.

Dan tidak seorangpun boleh menginjak-injak dirinya lagi."
"To My First Love","Setelah Jisoo kehilangan neneknya, yang merupakan keluarga satu-satunya baginya, ia dibawa untuk tinggal di rumah keluarga Hajin. Hajin yang memiliki kesan pertama buruk pada Jisoo tidak pernah menunjukkan rasa suka padanya. Jisoo juga yakin, dia tidak akan jatuh cinta kepada Hajin. Cerita tentang lika-liku hubungan yang tumbuh di bawah satu atap!"
"The Little Princess and Her Monster Prince","Ancia harus menikah dengan Putra Mahkota Blake di umurnya yang muda, namun ternyata Putra Mahkota tersebut memiliki kutukan dan dijuluki monster! Apalagi ternyata dunia yang Ancia masuki, itu aslinya dunia novel dewasa! Apa Ancia bisa mengatasi kutukan sang Putra Mahkota?"
"From Dreams to Freedom","Sebagai seorang remaja, Choi Jung-min dibully dengan parah di sekolah oleh Ha Joo-Hyeon.
Pelariannya dari segala masalahnya adalah ""lucid dream"" dimana ia bisa membalas Ha Joo-hyun saat Jung-min sedang tidur. 
Lalu, suatu hari, ia bertemu dengan seorang pria misterius di mimpinya, dan mendapatkan sebuah tawaran untuk membalas dendam kepada siapapun yang mengganggu dia. "
"A Selfish Desire","Kang Dukshim ingin melamar jadi sekretaris Ma Sunghoon karena ketampanannya, tetapi ternyata pria itu alergi perempuan dan tidak ingin punya sekretaris perempuan! Dukshim nekad melamar dengan pura-pura menjadi laki-laki, namun dia ketahuan oleh pimpinan perusahaan. Dia tetap diterima, dengan syarat harus menyamar jadi perempuan tua dan punya misi mencarikan jodoh yang setara bagi Sunghoon. Tak disangka pria yang benci perempuan itu malah naksir padanya."
"The World After the Fall","Ini adalah kisah tentang seorang pria yang memutuskan untuk tidak kembali ke masa lalu sampai akhir ketika semua orang lainnya kabur."
"Lady Virtue's Contract Marriage","Park Yeonwoo, seorang anak menteri di zaman Joseon, menyaksikan kematian suaminya di malam pertama mereka. Ternyata, itu membawa Yeonwoo ke malapetaka berikutnya yang menyebabkan dia ditenggelamkan ke sumur oleh seorang penculik yang motifnya belum diketahui! Saat Yeonwoo tersadar, dia ternyata berada di masa depan! Dan lagi, suaminya hidup kembali di masa depan!"
"Save Me, Princess!","Ketika kerajaannya diserang Raja Iblis, Putri Claudia yang dimanja dan biasa hidup enak terpaksa harus turun tangan menyelamatkan dunia. Sayangnya, dia tidak tahu apa-apa soal pertarungan dan politik! Bersama Desire, sang roh pelindung kerajaan, dan Ksatria Damian yang merupakan mantan kekasihnya, Claudia nekat mencari Raja Iblis... meski kemampuannya nol!"
"DENOUNCE","Impian Kangan untuk membuat sneakers terbaik di dunia berakhir pada dua tahun lalu.
Namun Kangan yang tidak ingin membuat sneakers lagi seumur hidupnya menghadapi kenyataan yang mengejutkan...
Drama remaja tentang balas dendam, pertumbuhan, dan persahabatan!"
"To You Who Don't Love Me","Siapa sangka, di hari Rose ditumbalkan kepada Leviathan oleh warga desa, Rose malah diselamatkan oleh Mihael. Sejak saat itu, Rose menganggap Mihael adalah segalanya. Rose akan melakukan apa pun untuk Mihael karena Rose mencintainya. Tapi, apakah Mihael juga mencintainya? Atau hanya menginginkan Rose karena kekuatan yang dimilikinya..."
"Maybe Meant to Be","Sudah berapa tahun kamu tinggal di rumah orang tua?
Han Jiah (pengangguran) yang tahun ini berusia 32 tahun, hari ini juga menderita karena masih belum menikah dan bekerja.

Tiba-tiba Jim Minchul, sahabat kecil Jiah muncul dan mereka memutuskan untuk menikah!?? Ternyata mereka berdua malah lebih cocok dari yang diperkirakan?!"
"Dear Nemesis","Kalmia yang sudah besar, berhasil menjadi suksesor keluarganya dan menjadi Count serta ngelahkan musuh bebuyutannya. Tapi tiba-tiba dia kembali ke masa lalu, semua yang dia bangun kembali jadi nol, dan yang lebih parahnya.. musuh bebuyutannya di masa depan justru mau jadi tunangannya?!"
"DjINN","Awalnya Tomy diberitahukan bahwa dapat warisan besar, ternyata warisannya adalah hotel yang pelanggannya hantu semua?!?!?!
Sekarang Tomy malah harus kerja jadi pegawai di hotel ini?!"
"Caravan 97","Nova dan Vidia, dua bersaudara yang tergabung di kru Karavan 97 bertanggung jawab membangun kembali peradaban manusia dari dalam perbatasan, namun kecelakaan teknis membuat mereka harus pergi ke Dunia Luar untuk pertama kali.

Dihantui oleh misteri dunia dan trauma masa lalu, dua kembar harus berjuang bersama melewati kelam dan suramnya kehidupan akhir zaman."
"Stay With Me","Arfa memutuskan menikah dengan sahabatnya,Neyna, sahabatnya sendiri.Ternyata kehidupan mereka berubah setelah menikah. Bagaimana mereka melalui hari-hari sebagai pasangan suami-istri?   "
"Ketupat","Kompilasi yang ditunggu dan paling hangat di bulan Ramadan! "
"Unseen Beauty","Nathalie dan Ayudia, kembar dengan sifat yang bertolak belakang dan mimpi yang berbeda. Namun, Nathalie terpaksa harus merelakan mimpinya ketika hal buruk menimpa Ayudia yang bekerja sebagai model di agensi ternama. Nathalie yang tomboy memutuskan untuk terjun ke dalam industri modeling demi membalas perbuatan orang yang sudah menyakiti saudarinya!"
"I Got Pregnant with the Tyrant's Child","Di malam paling meriah yang diadakan setahun sekali, 
Elan membuka matanya dan menemukan bahwa Kailat, seorang kaisar yang dikenal karena kekejamannya, sedang tidur di sebelahnya. Tanpa berpikir panjang, Elan melarikan diri dengan terburu-buru.

Tetapi...

""Saya hamil.""

Akhirnya Elan mempunyai anak secara tidak sengaja karena kejadian di malam tersebut.

Mengetahui bahwa kaisar membenci wanita yang mendekatinya, Elan memutuskan untuk menyembunyikan kehamilannya. Namun, Kailat terus mendekati Elan.

Apakah Elan dapat melarikan diri dari Kailat dengan selamat? Bagaimana dengan Anak-anak Elan? "
"Complicated Cohabitation","Seo Yugyeong terpaksa tinggal dengan cowok bernama Ijun yang merupakan teman adiknya. Awalnya dia keberatan, tapi Ijun ternyata jago mengurus rumah. Di sisi lain, Yugyeong sedang galau karena pacarnya tiba-tiba jadi dingin dan menjaga jarak. Keadaan jadi tambah rumit ketika Ijun yang dianggapnya adik sendiri sepertinya punya rasa padanya."
"Tomorrow","Choi Jun-woong, seorang mahasiswa berumur 27 tahun yang dapat mengerjakan segala hal kecuali mendapatkan pekerjaan malah bertemu dengan malaikat maut secara tidak sengaja.

Setelah mendapatkan pekerjaan di dalam tim manajemen krisis khusus, ia pun ditugaskan untuk membantu orang-orang yang membutuhkan bantuan sebelum mereka mengakhiri hidup mereka sendiri."
"For Stella","Aku yang masuk ke dunia novel kesukaanku, menjadi seorang figuran bernama Dana yang akan mati demi melindungi tokoh utama pria, Arcane. Dana bertekat untuk mengikuti alur cerita demi kembali ke dunianya. 
Tapi apa jadinya kalau Arcane ternyata mengulang waktu dan berniat mengubah masa depan cerita!"
"A Spoonful of Your Love","Yeonju menyerah pada universitas bergengsi karena cinta, tetapi setelah putus cinta yang hanya meninggalkan bekas luka, dia memperjuangkan hidupnya lagi dan mencoba lowongan kerja di TG Electronics sebagai peserta tertua.

Siapa sangka, direktur dari TG Electronics adalah Jaehyun, teman SMP-nya dulu yang mengenali bahwa Yeonju adalah seorang pembohong? Akankah pencarian kerja Yeonju dapat berjalan lancar kali ini?"
"The Vampire Lord's Greatest Wife","Sylvania, seorang putri bangsawan yang menyamar menjadi pelayan rendahan bernama Miria, selalu hidup menderita sejak seluruh keluarganya mati dimakan vampir.Tapi sejak menikah dengan Count Alaric yang misterius dan mengetahui identitas aslinya, hidup Sylvania berubah selamanya. Siapa Alaric yang sebenarnya?"
"My Reason to Die","Nam Jioh, seorang siswi SMA yang sedang mengalami cedera tahu dia harus waspada pada Cha Gyeol, seorang berandalan dengan penampilan tampan dan menawan. Meskipun begitu, hati Jioh tidak bisa berhenti memikirkan Cha Gyeol... 

""bolehkah aku menyukainya?"""
"Return of the Mad Demon","Jika kembali ke masa lalu sebelum orang gila menjadi gila.
Apakah kehidupan selanjutnya akan menjadi orang gila lagi?
"
"Reality Quest","Dowan yang selama ini dirundung untuk jadi Joki Game, meninggal karena kebanyakan main game?!
Tapi dia kembali hidup dan tiba-tiba muncul quest di depannya! Dan questnya benar-benar terasa nyata!"
"The Prenup","Demi mendapatkan investasi untuk perusahaannya, Woo Seunghee terpaksa setuju menikah kontrak dengan sang investor. Meski tampan, tetapi Seunghee tidak rela dan mengajukan perjanjian pranikah. Mengapa si investor begitu tertarik padanya?"
"Perhaps Mine","Mine yang baru saja dipecat karena suatu insiden, justru mendadak bekerja dengan gaji yang lebih besar. Tapi…..sebagai pengurus bayi dari si duda ganteng yang iseng!"
"Gemini Duos","Seorang gadis bernama Alvin mengalami penyakit kepribadian ganda selama 9 tahun dan berkali-kali memicunya untuk melakukan bunuh diri. Namun pada suatu hari, pasca kecelakaan di dekat sekolah, dia malah mendapati seorang anak laki-laki yang sangat mirip dengannya harus tinggal dengannya. Siapakah si anak laki-laki itu?"
"SWEET CHAOS","Setiap hari penuh kekacauan di SMA 21 Atap~ Tapi tenang ada para guru yang siap membereskan murid-murid. Ini lah hari-hari manis dan pahit Miss Shinna di sekolah!"
"Love and Leashes","Kisah romantis yang telah diadaptasi jadi film ""Love and Leashes""! Jihoo, adalah seorang pria yang memiliki selera ""agak berbeda"" dari kebanyakan. Dia ingin dimiliki oleh seseorang dan menemukan sosok ""tuan"" pada diri Jiwoo, wanita yang terlihat dingin namun diam-diam menyukainya. Apakah hubungan yang dimulai dari kesalahpahaman ini bisa berjalan lancar?"
"Doll & I","Cha Yoo Joo, seorang produser grup idola yang dipenjara karena tuduhan memanipulasi suara voting dalam pemilihan anggota grup 'Lily'. Padahal itu semua tuduhan palsu oleh suaminya. Cha Yoo Joo pun dipenjara dengan niat untuk membalas dendam pada suaminya, tapi di penjara dia bertemu dengan gadis bersuara emas dan memiliki karisma, Eun Ha Rin! Dari sinilah Cha Yoo Joo akan mendebutkan narapidana sebagai idola yang sukses!"
"Dedes","Isekai yang diangkat dari kisah sejarah Indonesia! Seorang mahasiswi tiba-tiba terbangun di tubuh Dedes, seorang gadis yang kelak akan menjadi ibu bagi para raja di tanah Jawa. Tetapi, semakin lama berada dalam tubuh Dedes, dia menyadari bahwa sejarah yang ada tak sepenuhnya benar."
"Trouble Maker","Kisah seorang remaja berandal bernama Gun yang menyelesaikan masalah dengan masalah lainnya. 
Ketiga sodaranya yang lain pun mau gak mau, jadi ikutan kebawa masalahnya Gun!"
"Welfare Center","Saat terbangun, aku berada di tempat misterius...
Lalu di sekelilingku dipenuhi oleh orang orang aneh...!
Apa sebenarnya rahasia di balik semua kejadian seram ini?!"
"Living like a Villain","Akulah penjahatnya.
Hal kotor, jahat, vulgar dan menganiaya mereka yang lemah... Semuanya akan kulakukan!
"
"A Killer Princess","Aku adalah pemburu monster handal yang hampir mati karena tunanganku. Kemudian, saat aku berniat balas dendam kepada tunanganku, aku malah terbangun menjadi Putri Riena! Ingatan terakhir Putri Riena yang dapat kuingat adalah saat dia mati dibunuh oleh tunangannya, Duke Rettice. Siapa sangka, sosok di dalam tubuh Duke Rettice yang sekarang pun bukan Duke Rettice sesungguhnya! Kini aku akan bekerja sama dengannya, aku akan menemukan orang yang memanggilku ke dunia ini dan kembali ke dunia asalku!"
"The Final Raid Boss","Player terhebat, Daejang Gong, menghilang selama satu minggu lebih dan tak ada yang tahu kemana ia pergi. Bagaimana kalau ternyata, Ia terjebak di dalam sebuah game online terbaru?! Apakah Ia bisa keluar dari jebakan ini?!"
"I Need a Bride","Dikarenakan sebuah kondisi mendesak, sang CEO Yoon Jeong-Heon terpaksa mencari sebuah istri bohongan. Eunchae yang tertipu malah mencium sang CEO di hari April Mop. Lho, lalu, kelanjutannya gimana?!"
"Trio Koplak","Loka, Kara dan Abi adalah tiga sahabat yang akan mengisi hari-hari sekolah dengan tingkah koplak mereka. Sekoplak apa sih mereka? Yuk, kita cari tahu bersama!"
"This Witch of Mine","Philippa, seoarang penyihir yang hidup abadi dan selalu berpindah-pidah dari satu kota ke kota lainnya. Namun hidupnya jadi berbeda sejak dia mengenal anak laki-laki bernama Colin..."
"Anti Receh-Receh Couple","Apa?! Eggy masih nabung receh di bawah kasur?! Listrik di rumah Kana dan Arya mati gara-gara telat beli token?! Rumah tangga Mas dan Adek goyah karena masalah keuangan? Bener nggak sih? Temuin jawabannya bareng LINE Bank di serial ini!"
"This Wasn't My Plan","Roa Kim adalah manajer aktor terkenal Sihyun Cheon yang memperlakukannya dengan semena-mena. Saat kelelahan akibat dipaksa bekerja terlalu keras, Roa tewas karena kecelakaan. Sekarat dengan penuh dendam Roa bersumpah jika ia bisa kembali ke masa lalu, ia akan menginjak-injak Sihyun sebelum terkenal. Ternyata ia benar-benar kembali ke masa lalu, saat Sihyun baru debut. Roa mencoba mensabotase karier Sihyun, namun rencananya tidak berjalan dengan mulus."
"Sorry to Butt In","Seongah, seorang kepala tim keamanan dari sebuah perusahaan berusia 30 tahun, suatu hari mabuk dan tidur di atas kap mobil milik orang yang tidak dia kenali. Tak disangka itu adalah mobil Kim Jaeheon, seorang CEO yang jatuh cinta pada Seongah di saat itu juga! Berbeda dengan Seongah yang tidak ingin menjalani hubungan ini lebih lanjut, Jaeheon malah terus meminta Seongah menjadi pacarnya!

Apakah Jaeheon akan berhasil menjadi pacar Seongah?! Atau akan ada banyak halangan di antara hubungan mereka berdua?
"
"Marry My Husband","Sahabatku dan suamiku berhubungan di belakangku.
Seolah tidak cukup memberiku nasib buruk, mereka juga mencelakai aku.
Tapi aku malah kembali ke 10 tahun yang lalu?! Kali ini aku bersumpah untuk memberikan nasib buruk yang kualami pada mereka. 
Akan kubuat sahabatku menikahi suamiku, bukan aku!
"
"My S-Class Hunters","Ketika portal dunia lain terbuka dan para monster datang menghancurkan dunia, manusia pun bisa mengalami 'awaken' dan menjadi Hunter!
Yujin yang ingin mengejar adiknya yang menjadi Hunter rank S, malah menjadi Hunter rank F?! Namun suatu kejadian naas justru membuatnya lompat rank menjadi ranking Legenda! "
"Radio Algeria : Horror On-Air","Komik antologi horor dan fenomena mengerikan yang tidak lazim. Sebagian konon terinspirasi dari kisah nyata. Berlatar di Yogyakarta akhir 2010an. Dinarasikan oleh Nona Algeria Rei di Swaranusa FM."
"THE STAR SEEKERS (Webnovel)","Dunia sihir.
Dan dunia 'idola ajaib'.
STAR ONE, idola yang tidak punya sihir di era yang cemerlang.
Sihir yang seperti keajaiban mendekati mereka yang jelas memiliki keterbatasan.
Dan musuh misterius yang mendekati mereka dengan sihir, ""Klan Pembantai Naga"".
​
 Kebenaran dari legenda yang harus dipecahkan dan misi besar kini telah datang.
Bisakah mereka mengubah takdir yang sudah ditentukan?
THE STAR SEEKERS with TOMORROW X TOGETHER"
"THE STAR SEEKERS","Dunia sihir.
Dan dunia 'idola ajaib'.
STAR ONE, idola yang tidak punya sihir di era yang cemerlang.
Sihir yang seperti keajaiban mendekati mereka yang jelas memiliki keterbatasan.
Dan musuh misterius yang mendekati mereka dengan sihir, ""Klan Pembantai Naga"".
​
 Kebenaran dari legenda yang harus dipecahkan dan misi besar kini telah datang.
Bisakah mereka mengubah takdir yang sudah ditentukan?
THE STAR SEEKERS with TOMORROW X TOGETHER"
"DARK MOON: THE BLOOD ALTAR (Webnovel)","Akademi Decelis terletak di kota Riverfield​ yang terkenal akan pantai indahnya.
Di sini ada 7 anak laki-laki yang menyimpan sebuah rahasia.
Mereka yang terkenal karena menjadi pemain utama di liga Nightball, sebenarnya seorang vampir yang sedikit berbeda dengan manusia biasa.
Mereka berusaha menjani kehidupan sekolah yang normal setelah melarikan diri dari masa lalu yang kelam.
Namun pemain dari sekolah saingan mereka yang ternyata manusia serigala tetap saja mengganggu kehidupan mereka.
Lalu suatu hari datang seorang murid perempuan baru yang menyatakan dirinya 'sedikit' kuat daripada yang lain.
Datangnya gadis yang sepertinya pernah mereka temui sebelumnya ini perlahan mulai mengungkap masa lalu mereka yang terlupakan.
DARK MOON: THE BLOOD ALTAR with ENHYPEN"
"DARK MOON: THE BLOOD ALTAR","Akademi DESELIS, sekolah bermartabat tinggi yang terletak di kota tepi laut, RIVERFIELD.
Ada 7 anak laki-laki yang menyimpan rahasia di sana. Suatu hari di saat mereka sudah menjalani hidup normal, seorang gadis yang mengaku memiliki kekuatan yang ""sedikit"" lebih kuat datang ke sekolah mereka. Datangnya gadis yang sepertinya pernah mereka temui sebelumnya ini perlahan mulai mengungkap masa lalu mereka yang terlupakan. 
Apa yang akan terjadi pada mereka?!
DARK MOON: THE BLOOD ALTAR with ENHYPEN"
"7FATES: CHAKHO (Webnovel)","Pada hari penyambutan tamu, yang datang ke kota SINSI bukanlah tamu yang ditunggu, melainkan mereka dari BEOM yang penuh rasa dendam. Kebencian yang telah berlangsung lama membuat kota SINSI menjadi gelap, dan penuh ketegangan. Tanpa ada solusi lain, akhirnya mereka mengangkat senjata untuk mengakhiri pertarungan ini."
"7FATES: CHAKHO","Pada hari penyambutan tamu, yang datang ke kota SINSI bukanlah tamu yang ditunggu, melainkan mereka dari BEOM yang penuh rasa dendam. Kebencian yang telah berlangsung lama membuat kota SINSI menjadi gelap, dan penuh ketegangan. Tanpa ada solusi lain, akhirnya mereka mengangkat senjata untuk mengakhiri pertarungan ini.
SUPER CASTING: BTS"
"Mukbang Life","Banyak makanan yang aku ingin makan di dunia ini!!! Inilah diary makananku!"
"Manajer Kim","Berhati-hatilah terhadap paman berkacamata itu...!
Manajer Kim, seorang ayah yang melepas pekerjaannya sebagai agen khusus dan memiliih kehidupan biasa untuk memberikan kehidupan normal kepada putrinya Minji. Namun suatu hari Minji menghilang jejak, sehingga Manajer Kim harus turun tangan untuk mencari putrinya!"
