"judul_elex","sinopsis_elex"
"demon slayer","Pada zaman Taisho di Jepang, hiduplah Tanjiro Kamado,seorang anak laki-laki berhati lembut yang hidup dari menjual arang . Namun, kehidupan damainya tiba-tiba hancur saat iblis membantai seluruh keluarganya. Hanya Nezuko, salah satu adik perempuannya, yang bertahan hidup. Masalahnya, Nezuko pun berubah menjadi iblis! Demi mengembalikan Nezuko menjadi manusia dan membalaskan dendam keluarganya, Tanjiro bertekad untuk menekuni jalan sebagai seorang pembasmi iblis...!!"
"demonic detective neuro","Godai yang dipaksa menjaga kantor menggantikan Neuro dan Yako, didatangi oleh pria yang tampak berbahaya . Godai yang melakukan perlawanan untuk mengusir mereka dikalahkan dengan mudahnya oleh seorang pria misterius bernama Yuki!! Tapi di saat Yuki akan pergi, dia berkata kalau bosnya, Mochizuki, ingin menyewa Yako...!?"
"detektif conan","Shinichi Kudo adalah siswa kelas 2 SMU yang tertarik pada misteri . Di sela-sela kesibukan sekolahnya ia sering membantu polisi menyelesaikan suatu kasus. Pada suatu hari, setelah menyelesaikan kasus pembunuhan di taman ria, ia melihat transaksi pemerasan terhadap penyelundup senjata. Tetapi, salah seorang kawanan itu memergokinya, dan ia dipaksa minum racun yang mengakibatkan tubuhnya menjadi susut, seperti anak kecil..."
"detektif conan movie","Rombongan Conan, Ran, dan Kogoro menghadiri demonstrasi pelayaran di kapal perang Aegis milik Angkatan Laut Pasukan Bela Diri Jepang . Namun, di tengah-tengah pelatihan, sebuah kapal mencurigakan yang misterius, mendekati kapal Aegis!! Ditambah lagi, dengan ditemukannya lengan manusia tanpa identitas di kapal ini. Conan yang terus menyelidiki tanpa tahu ini kasus pembunuhan atau kecelakaan, mengetahui adanya penyusup X, seorang mata-mata dari negara lain!! Semua jajaran Angkatan Laut Pasukan Bela Diri Jepang pun bekerja sama!! Simak film Conan ketujuh belas yang mencetak rekor pendapatan tertinggi sepanjang sejarah!!"
"detektif conan premium","Shinichi Kudo siswa kelas 2 SMA yang tertarik dunia misteri . Di sela-sela kesibukan sekolahnya, ia sering menbantu polisi menyelesaikan berbagai kasus kejahatan dan pembunuhan. Suatu hari, ia dipaksa minum racun oleh kelompok baju hitam yang mengakibatkan tubuhnya mengecil. Untuk menyembunyikan identitas aslinya ia terpaksa mengubah namanya menjadi Conan. Berkat analisa yang akurat dan naluri detektifnya Conan membantu Detektif Kogoro Mouri menyelesaikan berbagai kasus."
"detektif conan spesial","Ketika Conan sedang bermain HT bersama gengnya yang anak-anak SD, tiba-tiba mereka mendengar pembicaraan telepon yang cukup mengerikan! Seseorang tengah diancam! Anak-anak kecil ini memang panik bukan main, tetapi Conan tidak Apa yang terjadi?"
"detektif conan super digest book","Dengan membaca Conan Super Digest Book kalian akan mengenal lebih dekat tokoh-tokoh yang muncul dalam komik Detektif Conan . Penasaran dengan rahasia analisis ala Conan? Jangan khawatir, rahasia itu ada di Conan Super Digest Book plus wawancara seru dengan Aoyama Gosho Sensei. Oh,ya. Ada juga diagnosis tipe detektif! Dan diagnosis ini, kalian bisa tahu tipe detektif seperti apa kalian! Pokoknya buku ini akan menambah pengetahuan kalian tentang Detektif Conan!"
"detektif conan the movie","Terjadi kasus pembunuhan di sebuah gedung pencakar langit! Ternyata, kasus tersebut berkembang menjadi kasus pembunuhan berantai . Ditambah lagi, bayang-bayang organisasi hitam mulai mendekati Conan dan Haibara! Inilah versi komik dari film ke-5 Detektif Conan, yang sangat populer di tahun 2001!"
"detektif conan zero s tea","PRIA ITU MEMILIKI TIGA WAJAH, TRIPLE FACE! Dia memiliki sosok sebagai Rei Furuya (Agen Biro Keamanan Publik), Toru Amuro (Detektif) dan Bourbon (Anggota Organisasi Hitam) . Pria yang bergumul dengan cahaya dan kegelapan, tidak ada seorang pun yang mengetahui dengan pasti hari-harinya..."
"detektif kindaichi","Hajime Kindaichi terkenal sebagai murid SMA paling malas di sekolah . Nilai-nilainya selalu merah dan sering bolos. Tapi di balik sikap cueknya, dia seorang pemuda yang cerdas. Analisis terhadap masalah yang dihadapinya selalu akurat. Pada saat ikut rombongan klub teater sekolahnya latihan khusus di sebuah pulau, terjadi pembunuhan berantai yang meniru cerita Phantom of the Opera. Kejelian Kindaichi membantunya menemukan siapa sebenarnya sang Phantom yang meneror mereka."
"devil survivor","Musim panas, Kazuya Minegishi dan dua orang sahabatnya mendapat COMP, alat game dan komunikasi, dari saudaranya Naoya . Dari sana datanglah surat berisi ramalan tentang kekacauan yang akan menimpa kota, dan kemunculan monster-monster dari COMP. Sanggupkah mereka bertahan hidup."
"dog detective sherdock","Setelah 100 tahun lebih, detektif legendaris yang terkenal di dunia kebanggaan kerajaan Inggris itu lahir kembali di Jepang pada zaman modern! Tapi, ternyata dalam wujud anjing!? Bersama dengan Takeru Wajima, siswa SMU yang menjadi tuan pemiliknya, Sherdock berusaha memecahkan macam-macam kasus sulit! Tabir misteri dengan sensasi baru kini terbuka!"
"dolls of god","Kyohei dan Utao berhasil mengeluarkan Kirio dari dalam Amaterasu . Namun, apa Kakashi tersebut benar-benar Amaterasu!? Makhluk tersebut meledak terpental berkat serangan Kukuri, lalu kabur dari Kyohei, dkk. Dia kemudian mengambil wujud lain dan muncul di hadapan Aki..."
"dorabase","Pertama kalinya dalam sejarah baseball, nominasi dari seluruh klub terpusat di sini! Semangat bertarung Shiroemon dan Kuroemon begitu terasa! Nantikan pertarungan mereka!"
"doraemon","Bagaimana pun Doraemon memiliki kaitan yang tak bisa dilepaskan dari peralatan ajaib . Dari zaman primitif sampai ke kehidupan di masa depan, dari negeri bawah tanah sampai ke dunia mikro, dan lain-lain. Doraemon dan teman-teman bisa bertualang dengan bantuan peralatan ajaib miliknya. Keseruan apa yang bisa kita temukan di komik ini?"
"doraemon movie","Demi mendapatkan kembali lonceng Doraemon yang dicuri oleh Kaito DX, Nobita dkk . pergi ke Museum Peralatan Ajaib tempat di mana beragam alat-alat ajaib dipamerkan. Saat mereka sedang memeriksa bagian dalam museum tersebut, terkuaklah satu demi satu kenyataan yang tersembunyi! Siapakah sebenarnya Kaito DX? Apa rahasia di balik lonceng Doraemon? Rahasia di balik terciptanya peralatan ajaib pun terbuka!!!"
"doraemon petualangan","Doraemon dan teman-temannya berpetualang ke zaman Dinosaurus . Waaah, seperti apa petualangan mereka, ya?"
"dr. koto","Kensuke Goto alias dokter Koto berhasil menangani aneka pembedahan sulit di klinik kecil pulau Koshiki, sebuah pulau di tengah laut . Ayaka Hoshino yang pernah mendukung dokter Koto sebagai perawat di pulau, memutuskan pulang ke pulau setelah meninggalkannya demi mimpinya masuk universitas kedokteran. Tapi, kondisi darurat terjadi di kapal yang ditumpanginya... Lalu, Takehiro yang bermimpi untuk jadi dokter seperti dokter Koto di masa depan, diterima di SMU negeri yang sulit di pulau utama dengan luar biasa, tapi wajahnya murung. Apa alasannya? Selain itu, sebuah tragedi tak terbayangkan melandanya!! Simak kelanjutan kisah tentang dokter di pulau terpencil yang mengharukan dan penuh keajaiban yang berhasil menjadi pemenang Penghargaan Komik Shogakukan tahun 2004."
"dr. stone","Taiju, seorang siswa sekolah menengah, terlibat dalam fenomena misterius di mana semua manusia di dunia berubah menjadi batu dalam sekejap . Ribuan tahun kemudian, Taiju yang terbangun dan temannya Senku, memutuskan untuk menciptakan peradaban mulai dari awal!! Kisah petualangan survival sci-fi yang belum pernah ada sebelumnya, dimulai!!"
"dragon ball","Son Goku adalah seorang anak laki-laki yang luar biasa yang tinggal di dalam gunung . Suatu hari dia berjumpa dengan Bulma yang sedang dalam perjalanan mencari Dragon Ball.Akhirnya mereka bersama-sama menjadi tujuh buah Dragon Ball. Ternyata Dragon Ball ke enam ada di gunjung Frypan yang sedang terbakar..."
"dragon ball super","Sejak bertarung sengit dengan Manusia Iblis Buu, Goku telah melewati hari-harinya tanpa terasa ... Namun tiba-tiba muncul kembali seorang musuh tangguh yang ingin menghancurkan kedamaian di planet bumi. Musuh kali ini akan datang dari universe ke 6! Kisah yang diciptakan oleh Akira Toriyama ini akan dikembangkan dalam kisah yang seru hingga akhir. Ini dia Dragon Ball super!!"
"dream eater merry","Siapakah Merry sebenarnya ? Dia telah berhasil mengembalikan setan mimpi kembali ke dunia asalnya, hal yang seharusnya tak mungkin bisa dilakukan . Kebenaran yang tersembunyi dalam ini akan mengubah arah perlawanan mereka melawan Hercules."
"duel masters the legend of the overlord gachi","Tim duel SMP Geimu biasanya hanya menjadi tim lemah yang tidak pernah memenangkan pertandingan ... Tapi, tiba-tiba tim itu kedatangan Taiga, duelist misterius yang membuat mereka melaju ke final turnamen Duel Masters SMP! Siapa Taiga sebenarnya, dan apakah mereka bisa memenangkan pertandingan!?"
"dunia mimpi","Noriko, seorang siswi SMA, terkena ledakan bom dalam perjalanan pulang sekolah dan terlempar ke dunia lain . Di sana, Noriko yang sedang ketakutan di tengah hutan rimbun penuh monster diselamatkan oleh seorang pendekar bernama Izaku. Noriko memutuskan untuk mengikuti Izaku tanpa tahu bahwa alasan Izaku datang ke hutan tersebut adalah untuk membunuhnya...!! Pertemuan kedua orang ini menjadi awal pergolakan besar di dunia tersebut."
"edens zero","Shiki adalah seorang pemuda yang tinggal bersama para robot di Granbell, sebuah taman hiburan sekaligus negeri impian . Suatu hari, dia bertemu dengan pengunjung pertama negeri itu dalam 100 tahun terakhir, yang terdiri dari Rebecca, seorang gadis yang berprofesi sebagai kreator video di suatu situs web berbagi video, serta seekor kucing biru bernama Happy. Mereka dengan segera menjadi akrab dan memutuskan untuk berteman tanpa menyadari bahwa pertemuan kecil itu akan mengubah takdir mereka secara besar-besaran!! Dengan menaruh impian pada dunia yang belum pernah mereka lihat sebelumnya, Shiki, Rebecca, dan Happy memulai petualangan abadi mereka!!"
"erased","Satoru Fujinuma memiliki sebuah kemampuan ajaib bernama Revival yang dapat mengembalikannya ke beberapa saat sebelum terjadinya suatu musibah, sehingga dia dapat mencegahnya . Namun, sebuah kecelakaan memicu bangkitnya ingatan Satoru akan kasus penculikan berantai 18 tahun lalu yang ingin dilupakannya. Revival yang terjadi setelahnya pun ternyata berkaitan dengan kasus tersebut, dan kini melibatkan nyawa sang ibu. Ke manakah takdir akan membawa Satoru?"
"everlasting love","Aku ingin bertemu dengan pangeran takdirku Padahal, demi itu aku sudah berjuang keras, tapi kenapa kenyataannya malah begini? Nanase menjadi perawat demi mengejar impiannya . Setelah bertemu kembali dengan dokter idolanya, Kairi, hari-hari penuh kebahagiaan pun dimulai. Begitu pikirnya. Tapi kenyataannya, perjumpaannya dengan sang dokter justru mengundang gejolak!"
"fairy tail 100 years quest","Fairy Tail kedatangan anggota baru! Tepat di saat Natsu, Lucy, Happy dan kawan-kawan diminta untuk mengikuti quest yang sudah berlangsung selama 100 tahun dari benua seberang sana! Apakah Natsu dkk bisa memahami inti dari quest yang akan diberikan!? Bagaimana Natsu dkk akan menjalani quest-nya!? Di sisi lain, sepertinya anggota baru Tail ada yang mencurigakan! Ikuti petulangan baru Tail yang seru!"
"fairy tail","Pertarungan terakhir Natsu dan Zeref! Ketika pertarungan mereka menuju hasil akhir, tiba-tiba ada keretakan di langit . Ternyata Acnologia bisa menghisap sihir jurang waktu. Meski begitu, Acnologia terbagi jadi dua, yaitu tubuh fisik dan tubuh spiritual. Lucy dan yang lainnya berjuang melawan tubuh fisik Acnologia, sedangkan Natsu dan para dragon slayer melawan tubuh spiritual. Siapakah yang akan memenangkan pertarungan!? Akankah Natsu dan kawan-kawan kembali ke guild dan tertawa bersama seperti dulu!?"
"fairy tail city hero","Anggota Fairy Tail menjelma sebagai polisi!! Lucy, seorang sersan polisi, baru saja ditugaskan di kantor polisi Magnolia, tepatnya di team Fairy Tail . Bersama dengan natsu dan anggota Fairy Tail lainnya yang dikenal suka lupa diri saat berhadapan dengan kejahatan, mereka terus berusaha melindungi kedamaian kota!! Tak gentar menghadapi kasus-kasus seperti geng motor, penguntit, perampokan bank, pencurian, dan masih banyak lagi! Inilah buku pertama kisah polisi penyihir yang berisikan seluruh karakter komik Fairy Tail!!"
"fairy tail happy adventure","Happy terperangkap di dunia lain yang sama sekali berbeda . Dunia yang dipenuhi dengan binatang dan tidak ada manusia! Apakah Happy akan rindu kembali ke dunianya bersama Natsu dkk, atau Happy malah memilih tinggal di dunia lain selamanya!?"
"fairy-tale motif brocade returns","Suzu dan Shinkuro yang telah menjalin kehidupan yang damai kini diperintahkan untuk pergi ke ibu kota . Dan dimulai dari perjalanan mereka itu, nampaknya hari-hari tenang pasangan yang berbahagia ini tak bisa berlanjut untuk selamanya. Yuk, kita nikmati kembali petualangan dan cerita cinta Suzu & Shinkuro!"
"familiar of zero","Louise dikirim sebagai duta ke Albion dengan didampingi tunangannya . Kemampuan sang tunangan yang hebat membuat Saito merasa rendah diri, padahal mendekati Albion mereka akan terus dikelilingi musuh."
"family","Berkisah tentang sebuah keluarga Amerika, tepatnya Florida . Sebuah keluarga yang terdiri dari 7 anggota, keluarga Anderson yang menyenangkan. Masing-masing memiliki karakter unik masing-masing, yang walau bertentangan tetap saling mendukung satu sama lain. Dengan melalui banyak peristiwa bersama (peristiwa bermakna dan juga aneh), ikatan di antara mereka tumbuh lebih kuat dan erat!"
"faster than a kiss","Akhirnya pak guru menceritakan rahasia masa kecilnya pada Fumino, membuat hubungan keduanya jadi lebih dekat lagi . Sementara itu, Fumino pun mulai menjalani masa-masa terakhir kehidupan SMA-nya, salah satunya dengan ikut dalam festival kebudayaan! Apa sajakah yang akan terjadi di festival kebudayaan terakhirnya ini?"
"father and son","Shou, bocah pembuat onar yang tindakannya tak dapat diprediksi dan Yousan, sang ayah serba bisa yang sibuk mengurus putranya itu . Tiada hari tanpa insiden dalam kehidupan ayah dan anak yang selalu ramai! Mari kita intip komedi keseharian ayah dan anak yang berisik, tapi santai ini!"
"fight ippo","Berkat saran Kamogawa dan Takamura, Ippo berhasil memantapkan hati untuk bertanding seperti biasa . Namun, ucapan Hisato di ruang penimbangan menghancurkan kemantapan hatinya. Apa yang sebenarnya dikatakan Hisato!? Dengan ekspresi seperti apa Ippo akan bertarung dengan Hisato!?"
"fire force","Tiba-tiba saja orang mudah terbakar dan menjadi manusia api, sehingga hal ini disebut sebagai fenomena manusia terbakar . Misi utama pemadam kebakaran khusus adalah mengistirahatkan jiwa para manusia api dengan tenang. Seorang pemuda yang memiliki julukan iblis bernama Shinra, bertujuan menjadi Hero bersama teman-temannya di unit pemadam kebakaran!! Cerita fantasi yang membara dimulai!!"
"fist of the blue sky","Di antara puing-puing menara kedamaian jiwa, ditemukanlah Magatama yang mengandung jiwa para pewaris Hokuto Shinken sebelumnya . Dengan berdialog dengan Yama, Yasaka pun akhirnya mengetahui kebenaran dan juga beratnya dosa yang ditanggungnya. Dan pilihan yang diambilnya untuk menuntaskan semuanya adalah... beradu nyawa dengan Kenshiro!!"
"flame of recca","Recca Hanabishi - siswa kelas satu SMA yang bercita-cita menjadi ninja, suatu hari bertemu dengan Yanagi Sakoshita, gadis yang memiliki kekuatan untuk menyembuhkan orang lain . Tertarik dengan sifat Sakoshita, Recca pun lantas memutuskan untuk mengabdi kepadanya sebagai seorang ninja yang siap melindungi sampai titik darah penghabisan. Namun, tiba-tiba muncul seorang wanita misterius yang mengaku bernama Kagehoshi!"
"flower princess","Berlatar belakang zaman perang di Jepang, Chacha harus kehilangan semua kerabat laki-lakinya yang dibunuh oleh Shogun . Pada saat semua keluarga dan orang yang dikasihinya direnggut, dia memutuskan untuk memulai peperangannya sendiri."
"fly me to the moon","Nasa adalah korban orangtua yang tak bertanggung jawab saat menamai anaknya . Putra mereka yang dinamai seperti lembaga antariksa Amerika Serikat merasakan diejek oleh teman-temannya semasa kecil, sehingga akhirnya bertekad untuk bisa membuktikan dirinya lebih hebat dari NASA. Namun, takdir berkata lain. Suatu malam dia bertemu seorang gadis yang membuatnya jatuh cinta, karena gadis itu sangat manis. Setelah bertahun-tahun menanti, sang gadis kembali menemuinya. Lalu, tak perlu makan waktu hingga 52 volume sampai mereka akhirnya menikah."
"flying witch","Mulai hari ini Makoto Kowata akan tinggal di rumah saudaranya . Ini karena tradisi keluarga bahwa setelah 15 tahun, mereka harus keluar dari rumah dan memupuk pengetahuan untuk menjadi seorang penyihir yang hebat. Ya, Makoto adalah seorang penyihir, tapi dia sendiri nyaris tidak pernah memakai sihir sama sekali. Inilah kisah seorang penyihir di Aomori."
"friends game","Friends Game! Suatu permainan yang terpaksa diikuti oleh Yuichi Katagiri, si siswa SMA miskin, dan para sahabatnya . Kelima orang remaja yang berteman dekat ini dipaksa bermain demi melunasi utang sebesar 20 juta yen yang dimiliki oleh seseorang di antara mereka. Permainan ini seharusnya super mudah, jika mereka benar-benar berteman..."
"fujiwara is almost right","Aku yang diperlakukan sebagai boneka, dan cewek yang bisa jadi sosok spesial bagi seseorang ... Apa yang membuat kami beda? Apa yang bagus dari mereka? Hitsuji Matsumoto seorang murid populer di sekolah yang dikenal akrab dengan julukan si boneka. Tapi, dia shock saat tahu dirinya populer karena dianggap sebagai boneka maskot, dan tidak diperlakukan sebagai cewek baik oleh kaum cowok dan cewek! Saat itulah, dia diceramahi dengan galak oleh Fujiwara, sang ketua OSIS. Kalau ingin diperlakukan sebagai cewek, tunjukkan dengan sikapmu. Mampukah Hitsuji yang berusaha melepaskan imej bonekanya dengan berbekal ajaran Fujiwara itu, menjadi seorang cewek yang dipandang cowok bisa dijadikan pacar!? Pelajaran cinta si cewek boneka maskot x cowok yang apatis soal percintaan ini telah dimulai!!"
"fullmetal alchemist","Kami, Edward dan Alphonse Elric . Kakakku yang alchemist jenius juga dikenal sebagai Fullmetal Alchemist. Cinta kami terhadap ibu membuat kami melanggar hukum pertukaran setara dan menyebabkan kami menjadi seperti sekarang"
"future card buddy fight","Terjadi serangkaian kasus penculikan para Buddy Fighter! Anehnya, mereka yang diculik adalah petarung yang memiliki kekuatan di atas rata-rata . Pada suatu hari, Tasuku Ryuuenji menanggapi panggilan minta tolong Magoroku Shido yang mengatakan dirinya nyaris diculik dan bahwa si penculik melarikan diri ke sebuah gudang. Untunglah Tasuku cukup cerdik untuk menyadari bahwa ada sesuatu yang salah dengan kisah Magoroku yang ternyata memang terlibat dalam kasus penculikan yang terjadi belakangan ini! Mereka lantas bertarung!"
"geisha","Naoko bekerja di klub berkuda sembari berpikir ingin beralih profesi ke pekerjaan yang lebih anggun . Keberadaan dokter Norichika di klub itu menjadi penguat hatinya untuk terus bekerja di sana, tapi pertemuannya dengan geisha Fujimatsu di pernikahan temannya membuka matanya. Naoko pun berangkat ke Tokyo dengan tekad menjadi seorang geisha!"
"genso suikoden iii: the successor of fate","Perang panjang antara suku Grassland dan Zexen semakin membara . Di saat gencatan senjata yang tak diinginkan terjadi, dimulailah petualangan Hugo dalam mencari seorang legenda yang dulu pernah menyelamatkan Grassland dari perang lain. Adaptasi dari game yang dikembangkan dan dipublikasikan Konami untuk Play Station 2"
"gg stories of oedo","Di suatu tempat, ada yang disebut kota dunia iblis yaitu kota Ooedo . Kota di mana banyak makhluk gaib terbang ke sana kemari dan kota dipenuhi yokai yang hidup bersama. Ada satu-satunya pemuda manusia yang tinggal di sana. Bersama dengan para yokai yang baik, pemuda tersebut bekerja sebagai jurnalis di koran Kawaraban!"
"giant killing","Kali ini ETU melawan tim Montebia Yamagata! Pertandingan itu akan menjadi pertarungan strategi antarpelatih . Strategi apa yang akan disusun Tatsumi demi melawan pelatih tim lawan? Sementara itu, kenyataan salah satu pemain utama tidak bisa turun bertanding akan melemahkan ETU"
"giga tokyo toy box","Ternyata proses pembuatan game baru Desperate High School tidak berjalan lancar . Di tengah banyaknya masalah, game itu justru harus ditampilkan pada Solidus Works Convention. Sementara jadwal produksi semakin ketat, adanya Solidus Check menambah beban para staf. Taiyo yang bingung, panik, dan terluka akhirnya mengamuk. Jawaban apa yang Taiyo dapat saat mencari jalannya kembali? Mampukah dia membuat keajaiban lagi!?"
"girl officer hinata","Hinata Shiroishi, siswi SMA yang biasa-biasa saja . Tapi karena pernah menjalani operasi transplantasi jantung, dia bisa berubah menjadi pak Haida, donor jantungnya. Semasa hidup, pak Haida seorang penyidik yang hebat. Jadi sekarang Hinata pun terlibat penyelidikan kasus-kasus yang rumit! Bersama rekannya, pak Kuro, detektif polisi mata keranjang dan suka seenaknya sendiri, Hinata sang siswi SMA pun, turut memecahkan kasus satu demi satu!"
"girls and panzer","Senshado adalah seni beladiri dengan menggunakan tank . Ilmu ini sudah lama dianggap sebagai salah satu keterampilan yang harus dipelajari seorang wanita. Sekolah Ooarai baru saja menghidupkan kembali kegiatan Senshado di sekolah mereka, dan tujuannya adalah memenangkan turnamen nasional!"
"god family","Ayah seorang dewa dan ibu seorang dewi . Ditambah lagi seorang malaikat manis yang menjadi teman sejak kecil. Samataro Kamiyama harus hidup di dunia manusia untuk berlatih sebagai calon dewa. Semua keinginannya selalu dikabulkan oleh orangtuanya yang overprotektif. Benar-benar sebuah kehidupan yang serba mudah dan membosankan. Di tengah kebosanan itu, dia bertemu seorang gadis cantik dan jatuh cinta pada pandangan pertama! Apalagi ini pengalaman jatuh cintanya yang pertama! Apa dia berhasil meraih cintanya dengan kekuatan sendiri tanpa meminjam bantuan dewa?"
"godhand teru","Teru tiba-tiba berubah!! Kei pun menyadari perubahan pada operasi yang dilakukan . Entah kenapa, terasa ketegangan yang aneh saat Teru mengoperasi. Berkali-kali Teru mengatakan dirinya baik-baik saja, tetap saja ada sesuatu yang sedang bergejolak di dalam hatinya. Ada apa ini!?"
"gogogo to the west","Perjalanan biksu Sanzo, Si Kera sakti, dkk sudah tidak asing lagi! Komik ini menyajikan perjalanan itu dengan kocak banget! ikuti aja kisahnya!"
"gokushufudo","Alkisah, ada seorang yakuza yang dijuluki Immortal Tatsu, Sang Naga yang Tak Bisa Mati . Dialah yakuza terkuat yang pernah ada dan melahirkan berbagai legenda. Tapi suatu hari, dia menghilang begitu saja dari dunia hitam Dia memilih jalan hidup baru, yaitu menjadi seorang bapak rumah tangga!!"
"golden mosaic","Alice, seorang siswi SMA bertubuh kecil dari Inggris, datang ke Jepang untuk menemui Shinobu, gadis anggun dari Jepang yang jadi teman baiknya dan bersekolah di sekolah yang sama dengannya . Di Jepang, dia mendapat teman-teman baru lainnya seperti Aya yang sikapnya elegan dan Yoko yang berisik. Ditambah lagi, temannya dari Inggris pun juga menyusulnya. Hari-hari seperti apa yang mereka jalani dengan berbagai perbedaan budaya itu?"
"gourmet","Sama seperti Kurumi, ternyata Cheri Yamazaki adalah murid chef Osawa!? Selain itu juga muncul rival baru Kurumi, Takahashi . Kurumi tampaknya kewalahan menghadapi lawan-lawannya yang berat!? Dalam kondisi seperti itu, ternyata senator Takeyama, musuh Perdana Menteri Ato memanggil Kurumi! Apa maksudnya!?"
"granny idol","Momoka Yamada kedatangan nenek yang lama tak pernah dia temui . Karena suatu kecelakaan, nenek Momoka itu menjadi muda kembali. Tak hanya itu, sang nenek juga cantik sekali. Tapi secantik apa pun, isinya tetap saja seorang nenek. Nah, apakah itu baik atau buruk ?"
"great priest imhotep","Magai ... makhluk tiruan dewa-dewi Mesir Kuno yang memberikan kutukan bagi manusia dan berniat menghancurkan dunia. Untuk memurnikannya, sang pendeta agung Imhotep yang telah disegel selama lebih dari 3.000 tahun pun dibangunkan dan dikirim ke Jepang. Di sana, dia bertemu dengan Hinome, seorang siswi SMA yang dirasuki sehingga mulutnya akan menyemburkan api tiap kali dia berbicara. Bagaimanakah petualangan seru dari sang tokoh legendaris Mesir Kuno itu di dunia masa kini dalam misi memurnikan para ?"
"green blood","New York City, pertengahan abad 19 . Di sebuah daerah kumuh bernama Five Points, tinggallah kakak beradik yang lahir dan dibesarkan di sana, di mana semua kelompok geng saling berebut daerah kekuasaan. Kriminalitas bebas terjadi di setiap sudut kota. Dan di antara kekelaman itu, muncullah sang Grave Digger yang disegani semua orang."
"gun princess phantom pain","Koji dan Materia adalah separang Blazer, yaitu orang-orang yang mencari penghasilan dari melakukan Blazing, ritual pemakaman di dunia mereka untuk mencegah orang mati berubah menjadi mayat hidup . Terutama mereka bekerja untuk orang-orang yang tak mampu membayar pajak pada gereja untuk dimakamkan secara resmi. Tentu saja ini pekerjaan yang ilegal, tapi selain itu mereka juga buronan yang dikejar-kejar untuk suatu sebab."
"hajime is no 1","Hajime adalah gadis biasa yang bisa mengurus segala hal sendiri sejak masih kecil, karena keluarganya yang miskin . Ia memiliki adik kembar 5 yang mencoba masuk dalam perusahaan musik yang berawal dari membintangi iklan. Pada kenyataannya, Hajime harus menjaga adik-adiknya dan mengejar idolanya yang kebetulan merupakan bintang iklan di perusahaan yang sama dengan adiknya."
"hanako si arwah penasaran","Hanako, Hanako, apa kamu ada di dalam? Ada rumor tentang tujuh misteri atau lebih dikenal dengan Nana Fushigi di Akademi Kamome . Salah satunya adalah Hanako, hantu yang menghuni toilet wanita bilik ketiga di lantai 3 gedung sekolah lama. Konon, dia akan mengabulkan apa pun harapan orang yang memanggilnya. Di sisi lain, Nene Yashiro, seorang siswi SMA, melibatkan dirinya dengan makhluk supernatural agar harapannya terkabul. Inilah kisah komedi yang menghangatkan hati tentang Hanako, si hantu toilet, dengan gadis penggemar misteri!"
"hanayamata","Naru, seorang gadis yang pemalu, selalu mendambakan hidup seperti dalam cerita dongeng dimana ada peri yang menolongnya atau pangeran yang akan menjemputnya . Sungguh dia bertemu dengan seorang peri yang mengajaknya untuk menari bersama. Ayo menari Yosakoi!"
"handa kun","Sei Handa (nama shu Handa di Barakamon sebelum jadi profesional), siswa SMA kelas 2, pekerjaan : kaligrafer . Karena kharisma dan sifatnya yang kalem, dia diidolakan seluruh murid sekolahnya. Tapi Handa malah menganggap seisi sekolah membenci dan mengucilkan dirinya. Salah satu contoh, ketika menerima surat cinta, dia malah menganggap itu sebagai surat tantangan. Lalu, bagaimana Handa menjawab surat tantangan itu?"
"happy marriage","Saat mengira hidup mereka sudah damai, Hokuto dan Chiwa justru diserang hingga mengingatkan Hokuto akan kematian ibunya . Di lain pihak, kenyataan yang dirahasiakan ayah Hokuto pun terkuak! Demi menyelesaikan semua masalah selama ini, Hokuto keluar dari keluarga Mamiya! Akankah masa depan cerah menanti pasangan ini!? Inilah akhir yang mengawali kembali kisah pernikahan mereka!"
"hari ini dan besok juga","Chika mulai mengerjakan lembar demi lembar naskah komiknya untuk mengejar impian menjadi komikus pada usia 15 tahun . Agar Chika berkonsentrasi pada naskah komiknya sendiri, Ryo pun mempekerjakan seorang asisten sementara. Di lain pihak, Kasumi yang menyadari perasaannya pada Chika, mengungkapkan perasaannya pada gadis itu. Bagaimana reaksi Ryo ketika mendengar hal itu dari Chika? Inilah buku keempat perjuangan Chika untuk menjadi komikus!"
"harlem beat","Naruse cowok canggung yang merasa hidupnya selalu gagal . Ia selalu berkeinginan menjadi peran utama, di mana orang-orang bertepuk tangan untuk dirinya. Tapi, kenyataannya selalu sebaliknya. Akhirnya, ia mencoba masuk klub basket sekolah dan berharap bisa jadi pemain inti, tapi malah jadi cadangan. Hidup Naruse mulai berubah ketika ia bertemu kembali dengan teman masa kecilnya, Mizuki, yang memperkenalkannya pada street basket. Sejak saat itu perjalanan Naruse sebagai pemain basket dimulai..."
"hayate the combat butler","Tugas seorang pelayan adalah sebagai pendukung yang membantu majikannya . Tapi bagi Hayate, bukan hanya nona besarnya saja, semua gadis dia tolong sampai-sampai umurnya serasa menyusut saking banyaknya hal heboh yang terjadi."
"heartbroken chocolatier","Sota Koyurugi, anak tukang kue, jatuh cinta setengah mati pada Saeko, seorang gadis manis pecinta coklat . Tapi, begitu mengetahui bahwa Saeko tidak menyambut perasaannya, Sota pun mengambil tindakan ekstrem. Dia berencana tetap berjuang mendapatkan hati Saeko dengan cara menjadi chocolatier terbaik!"
